participant,language,task,word,stop,foll_vowel,type,duration,excl,negvotva,posvotva,
001,en,sen,to,t,uː,POS_VOT,42,,,,
001,en,sen,buyer,b,aɪ,POS_VOT,9,,,,
001,en,sen,good,ɡ,ʊ,,,NR,,,
001,en,sen,gain,ɡ,eɪ,POS_VOT,18,,,,
001,en,sen,good,ɡ,ʊ,POS_VOT,22,,,,
001,en,sen,cook,k,ʊ,POS_VOT,51,,,,
002,en,q1,talk,t,ɒ,,,NR,,,
002,en,q1,currently,k,ʌ,POS_VOT,99,,,,
002,en,q1,currently,k,ʌ,POS_VOT,56,,,,
002,en,q1,dissertation,d,ɪ,POS_VOT,17,,,,
002,en,q1,kind,k,aɪ,POS_VOT,58,,,,
002,en,q1,to,t,ə,,,NV,,,
002,en,q1,go,g,əʊ,POS_VOT,29,,,,
002,en,q1,bit,b,ɪ,POS_VOT,15,,,,
002,en,q1,to,t,ə,POS_VOT,114,,,,
002,en,q1,got,ɡ,ɒ,POS_VOT,36,,,,
002,en,q1,birmingham,b,ɜː,POS_VOT,18,,,,
002,en,q1,to,t,ə,POS_VOT,54,,,,
002,en,q1,birmingham,b,ɜː,POS_VOT,9,,,,
002,en,q1,to,t,ə,POS_VOT,61,,,,
002,en,q1,covid,k,əʊ,POS_VOT,77,,,,
002,en,q1,pandemic,p,æ,POS_VOT,17,,,,
002,en,q1,birmingham,b,ɜː,POS_VOT,9,,,,
002,en,q1,to,t,uː,POS_VOT,70,,,,
002,en,q1,to,t,ə,POS_VOT,85,,,,
002,en,q1,cause,k,ə,,,NR,,,
002,en,q1,be,b,iː,,,NR,,,
002,en,q1,gone,ɡ,ɒ,POS_VOT,25,,,,
002,en,q1,by,b,aɪ,POS_VOT,8,,,,
002,en,q1,cause,k,ə,POS_VOT,43,,,,
002,en,q1,but,b,ʌ,POS_VOT,14,,,,
002,en,q1,didn't,d,ɪ,POS_VOT,15,,,,
002,en,q1,go,ɡ,əʊ,POS_VOT,21,,,,
002,en,q1,by,b,aɪ,,,NR,,,
002,en,q1,to,t,uː,POS_VOT,55,,,,
002,en,q1,bit,b,ɪ,POS_VOT,9,,,,
002,en,q1,couple,k,ʌ,POS_VOT,61,,,,
002,en,q1,best,b,ɛ,,,NR,,,
002,en,q1,bit,b,ɪ,POS_VOT,9,,,,
002,en,q1,because,b,ɪ,POS_VOT,18,,,,
002,en,q1,course,k,ɔː,,,NV,,,
002,en,q1,to,t,ə,POS_VOT,57,,,,
002,en,q1,go,g,əʊ,POS_VOT,15,,,,
002,en,q1,cause,k,ə,POS_VOT,44,,,,
002,en,q1,doctor,d,ɒ,POS_VOT,17,,,,
002,en,q1,but,b,ʌ,POS_VOT,17,,,,
002,en,q1,purple,p,ɜː,POS_VOT,92,,,,
002,en,q1,but,b,ʌ,,,NR,,,
002,en,q1,decided,d,ɪ,POS_VOT,23,,,,
002,en,q1,couldn't,k,ʊ,POS_VOT,70,,,,
002,en,q1,basically,b,eɪ,POS_VOT,9,,,,
002,en,q1,decided,d,ɪ,,,NR,,,
002,en,q1,to,t,ə,,,NV,,,
002,en,q1,to,t,ə,POS_VOT,83,,,,
002,en,q1,booked,b,ʊ,POS_VOT,10,,,,
002,en,q1,ticket,t,ɪ,POS_VOT,63,,,,
002,en,q1,to,t,uː,POS_VOT,75,,,,
002,en,q1,two,t,uː,POS_VOT,80,,,,
002,en,q1,days,d,eɪ,POS_VOT,9,,,,
002,en,q1,couple,k,ʌ,POS_VOT,50,,,,
002,en,q1,people,p,iː,,,NR,,,
002,en,q1,could,k,ʊ,POS_VOT,57,,,,
002,en,q1,going,ɡ,əʊ,POS_VOT,23,,,,
002,en,q1,to,t,uː,POS_VOT,102,,,,
002,en,q1,because,b,ɪ,,,NR,,,
002,en,q1,to,t,uː,POS_VOT,60,,,,
002,en,q1,degree,d,ɪ,POS_VOT,25,,,,
002,en,q1,gave,ɡ,eɪ,POS_VOT,15,,,,
002,en,q1,customer,k,ʌ,POS_VOT,65,,,,
002,en,q1,people,p,iː,POS_VOT,82,,,,
002,en,q1,people,p,iː,POS_VOT,93,,,,
002,en,q1,to,t,uː,,,NR,,,
002,en,q1,to,t,uː,POS_VOT,115,,,,
002,en,q1,till,t,ɪ,POS_VOT,88,,,,
002,en,q1,to,t,ə,POS_VOT,94,,,,
002,en,q1,because,b,ɪ,POS_VOT,17,,,,
002,en,q1,to,t,uː,POS_VOT,83,,,,
002,en,q1,do,d,uː,POS_VOT,37,,,,
002,en,q1,doing,d,uː,POS_VOT,42,,,,
002,en,q1,couple,k,ʌ,POS_VOT,53,,,,
002,en,q1,but,b,ʌ,POS_VOT,17,,,,at 224 s
002,en,q1,decided,d,ɪ,POS_VOT,15,,,,
002,en,q1,didn't,d,ɪ,POS_VOT,23,,,,
002,en,q1,to,t,uː,POS_VOT,75,,,,
002,en,q1,because,b,ɪ,,,NR,,,
002,en,q1,culture,k,ʌ,POS_VOT,89,,,,
